artist,title,clean_title,release_date,artwork_url,image_path
Taylor Swift,Lover,Lover,2019-08-23,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/49/3d/ab/493dab54-f920-9043-6181-80993b8116c9/19UMGIM53909.rgb.jpg/600x600bb.jpg,images/00_Tay_Lover.jpg
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a4/86/59/a486593a-53c9-1c2a-5122-8f25339f7359/24UMGIM44778.rgb.jpg/600x600bb.jpg,images/01_Tay_THETORTUREDP.jpg
Taylor Swift,folklore,folklore,2020-07-24,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ca/f3/67/caf367a5-2cf6-6b2e-a891-97dc57b19f08/20UMGIM64216.rgb.jpg/600x600bb.jpg,images/02_Tay_folklore.jpg
Taylor Swift,Midnights (3am Edition),Midnights,2022-10-21,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/59/13/5c/59135ccc-8425-415c-7f89-8aeada60088e/22UM1IM22440.rgb.jpg/600x600bb.jpg,images/03_Tay_Midnights.jpg
Taylor Swift,Red (Taylor's Version),Red,2021-11-12,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e1/b1/04/e1b10422-f39c-a8c7-195b-ebdb8c05489c/21UM1IM25046.rgb.jpg/600x600bb.jpg,images/04_Tay_Red.jpg
Taylor Swift,evermore,evermore,2020-12-11,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/bd/dd/54/bddd543b-4e0f-007b-1398-5fef90b963c3/20UM1IM14847.rgb.jpg/600x600bb.jpg,images/05_Tay_evermore.jpg
Taylor Swift,Fearless (Taylor's Version),Fearless,2021-04-09,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c3/d0/1c/c3d01c88-73e7-187e-fd62-e1744de979a6/21UMGIM09915.rgb.jpg/600x600bb.jpg,images/06_Tay_Fearless.jpg
Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,The Life of a Showgirl + “A Look Behind the Curtain”,2025-10-03,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/59/36/1b/59361bc2-786b-4d92-46cb-65d97a5c3edb/25UM1IM37347.rgb.jpg/600x600bb.jpg,images/07_Tay_TheLifeofaSh.jpg
Taylor Swift,Speak Now (Taylor's Version),Speak Now,2023-07-07,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3b/02/ea/3b02ea2d-2586-59d7-d2b8-e9b6af6b52b3/23UMGIM63932.rgb.jpg/600x600bb.jpg,images/08_Tay_SpeakNow.jpg
Taylor Swift,reputation,reputation,2017-11-10,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/eb/e6/06/ebe606da-e00f-82d3-47f3-b79904eed541/17UM1IM24651.rgb.jpg/600x600bb.jpg,images/09_Tay_reputation.jpg
