artist1,title1,img1,artist2,title2,img2,same_artist,color_sim,design_sim,similarity
Taylor Swift,folklore,images/02_Tay_folklore.jpg,Taylor Swift,evermore,images/05_Tay_evermore.jpg,True,0.904,0.651,0.778
Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,Taylor Swift,evermore,images/05_Tay_evermore.jpg,True,0.84,0.644,0.742
Red Hot Chili Peppers,I'm with You,images/10_Red_ImwithYou.jpg,Red Hot Chili Peppers,Greatest Hits,images/11_Red_GreatestHits.jpg,True,0.958,0.378,0.668
Taylor Swift,folklore,images/02_Tay_folklore.jpg,Taylor Swift,reputation,images/09_Tay_reputation.jpg,True,0.998,0.286,0.642
Taylor Swift,evermore,images/05_Tay_evermore.jpg,Taylor Swift,reputation,images/09_Tay_reputation.jpg,True,0.904,0.368,0.636
Taylor Swift,evermore,images/05_Tay_evermore.jpg,Red Hot Chili Peppers,Greatest Hits,images/11_Red_GreatestHits.jpg,False,0.617,0.644,0.63
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,images/01_Tay_THETORTUREDP.jpg,Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,True,0.666,0.584,0.625
Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,Red Hot Chili Peppers,Greatest Hits,images/11_Red_GreatestHits.jpg,False,0.873,0.351,0.612
Taylor Swift,folklore,images/02_Tay_folklore.jpg,Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,True,0.927,0.278,0.603
Red Hot Chili Peppers,Stadium Arcadium,images/14_Red_StadiumArcad.jpg,Red Hot Chili Peppers,Return of the Dream Canteen,images/18_Red_ReturnoftheD.jpg,True,0.916,0.269,0.592
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,images/01_Tay_THETORTUREDP.jpg,Taylor Swift,folklore,images/02_Tay_folklore.jpg,True,0.984,0.183,0.584
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,images/01_Tay_THETORTUREDP.jpg,Red Hot Chili Peppers,Unlimited Love,images/15_Red_UnlimitedLov.jpg,False,0.907,0.206,0.557
Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,Taylor Swift,reputation,images/09_Tay_reputation.jpg,True,0.555,0.543,0.549
Taylor Swift,folklore,images/02_Tay_folklore.jpg,Red Hot Chili Peppers,Unlimited Love,images/15_Red_UnlimitedLov.jpg,False,0.872,0.192,0.532
Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,True,0.771,0.256,0.513
Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,Red Hot Chili Peppers,Unlimited Love,images/15_Red_UnlimitedLov.jpg,False,0.656,0.368,0.512
Red Hot Chili Peppers,Blood Sugar Sex Magik,images/13_Red_BloodSugarSe.jpg,Red Hot Chili Peppers,Return of the Dream Canteen,images/18_Red_ReturnoftheD.jpg,True,0.861,0.159,0.51
Taylor Swift,Red,images/04_Tay_Red.jpg,Taylor Swift,reputation,images/09_Tay_reputation.jpg,True,0.965,0.035,0.5
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,images/01_Tay_THETORTUREDP.jpg,Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,True,0.932,0.05,0.491
Red Hot Chili Peppers,The Getaway,images/12_Red_TheGetaway.jpg,Red Hot Chili Peppers,Californication,images/16_Red_Californicat.jpg,True,0.603,0.378,0.491
Taylor Swift,Red,images/04_Tay_Red.jpg,Taylor Swift,Fearless,images/06_Tay_Fearless.jpg,True,0.656,0.302,0.479
Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,Taylor Swift,reputation,images/09_Tay_reputation.jpg,True,0.929,0.025,0.477
Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,Red Hot Chili Peppers,Rock & Roll Hall of Fame Covers - EP,images/19_Red_RockRollHall.jpg,False,0.78,0.158,0.469
Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,Red Hot Chili Peppers,I'm with You,images/10_Red_ImwithYou.jpg,False,0.767,0.159,0.463
Taylor Swift,evermore,images/05_Tay_evermore.jpg,Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,True,0.911,0.01,0.46
Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,Red Hot Chili Peppers,Unlimited Love,images/15_Red_UnlimitedLov.jpg,False,0.875,0.041,0.458
Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,Red Hot Chili Peppers,Stadium Arcadium,images/14_Red_StadiumArcad.jpg,False,0.391,0.516,0.454
Taylor Swift,Lover,images/00_Tay_Lover.jpg,Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,True,0.683,0.223,0.453
Red Hot Chili Peppers,The Getaway,images/12_Red_TheGetaway.jpg,Red Hot Chili Peppers,Blood Sugar Sex Magik,images/13_Red_BloodSugarSe.jpg,True,0.919,-0.015,0.452
Red Hot Chili Peppers,The Getaway,images/12_Red_TheGetaway.jpg,Red Hot Chili Peppers,Return of the Dream Canteen,images/18_Red_ReturnoftheD.jpg,True,0.942,-0.044,0.449
Taylor Swift,Red,images/04_Tay_Red.jpg,Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,images/07_Tay_TheLifeofaSh.jpg,True,0.947,-0.052,0.448
Taylor Swift,folklore,images/02_Tay_folklore.jpg,Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,True,0.553,0.344,0.448
Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,Red Hot Chili Peppers,Return of the Dream Canteen,images/18_Red_ReturnoftheD.jpg,False,0.586,0.309,0.447
Taylor Swift,Fearless,images/06_Tay_Fearless.jpg,Red Hot Chili Peppers,Californication,images/16_Red_Californicat.jpg,False,0.588,0.297,0.442
Taylor Swift,folklore,images/02_Tay_folklore.jpg,Taylor Swift,Speak Now,images/08_Tay_SpeakNow.jpg,True,0.651,0.221,0.436
Taylor Swift,evermore,images/05_Tay_evermore.jpg,Red Hot Chili Peppers,Unlimited Love,images/15_Red_UnlimitedLov.jpg,False,0.945,-0.075,0.435
Taylor Swift,Red,images/04_Tay_Red.jpg,Red Hot Chili Peppers,Californication,images/16_Red_Californicat.jpg,False,0.776,0.09,0.433
Red Hot Chili Peppers,Stadium Arcadium,images/14_Red_StadiumArcad.jpg,Red Hot Chili Peppers,Unlimited Love,images/15_Red_UnlimitedLov.jpg,True,0.305,0.545,0.425
Taylor Swift,Midnights,images/03_Tay_Midnights.jpg,Red Hot Chili Peppers,Rock & Roll Hall of Fame Covers - EP,images/19_Red_RockRollHall.jpg,False,0.85,-0.009,0.42
Red Hot Chili Peppers,Blood Sugar Sex Magik,images/13_Red_BloodSugarSe.jpg,Red Hot Chili Peppers,Stadium Arcadium,images/14_Red_StadiumArcad.jpg,True,0.805,0.032,0.418
