artist,album,year,tracks,genre,cover_thumbnail,cover_full,brightness,saturation,contrast,palette,hex_color
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a4/86/59/a486593a-53c9-1c2a-5122-8f25339f7359/24UMGIM44778.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a4/86/59/a486593a-53c9-1c2a-5122-8f25339f7359/24UMGIM44778.rgb.jpg/600x600bb.jpg,22.8,16.5,31.5,Dark & Moody,#3e3935
Taylor Swift,folklore,2020,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ca/f3/67/caf367a5-2cf6-6b2e-a891-97dc57b19f08/20UMGIM64216.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ca/f3/67/caf367a5-2cf6-6b2e-a891-97dc57b19f08/20UMGIM64216.rgb.jpg/600x600bb.jpg,65.8,0.0,41.6,Monochrome / Gray,#a7a7a7
Taylor Swift,Red,2021,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e1/b1/04/e1b10422-f39c-a8c7-195b-ebdb8c05489c/21UM1IM25046.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e1/b1/04/e1b10422-f39c-a8c7-195b-ebdb8c05489c/21UM1IM25046.rgb.jpg/600x600bb.jpg,35.0,48.5,45.4,Warm Red & Orange,#705141
Taylor Swift,evermore,2020,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/bd/dd/54/bddd543b-4e0f-007b-1398-5fef90b963c3/20UM1IM14847.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/bd/dd/54/bddd543b-4e0f-007b-1398-5fef90b963c3/20UM1IM14847.rgb.jpg/600x600bb.jpg,46.2,24.6,70.1,Warm Red & Orange,#7f726c
Taylor Swift,Fearless,2021,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c3/d0/1c/c3d01c88-73e7-187e-fd62-e1744de979a6/21UMGIM09915.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c3/d0/1c/c3d01c88-73e7-187e-fd62-e1744de979a6/21UMGIM09915.rgb.jpg/600x600bb.jpg,48.7,53.1,56.2,Warm Red & Orange,#96774c
Taylor Swift,The Life of a Showgirl + “A Look Behind the Curtain”,2025,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/59/36/1b/59361bc2-786b-4d92-46cb-65d97a5c3edb/25UM1IM37347.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/59/36/1b/59361bc2-786b-4d92-46cb-65d97a5c3edb/25UM1IM37347.rgb.jpg/600x600bb.jpg,19.1,71.4,39.4,Dark & Moody,#572215
Taylor Swift,Speak Now,2023,14,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3b/02/ea/3b02ea2d-2586-59d7-d2b8-e9b6af6b52b3/23UMGIM63932.rgb.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3b/02/ea/3b02ea2d-2586-59d7-d2b8-e9b6af6b52b3/23UMGIM63932.rgb.jpg/600x600bb.jpg,25.8,45.0,57.0,Pink & Magenta,#573740
Red Hot Chili Peppers,I'm with You,2011,12,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/00/8c/9a/008c9ad2-409a-a830-7e4d-ec5b5085415a/093624954811.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/00/8c/9a/008c9ad2-409a-a830-7e4d-ec5b5085415a/093624954811.jpg/600x600bb.jpg,87.7,3.6,39.3,Minimalist White,#e2dedd
Red Hot Chili Peppers,Greatest Hits,2003,12,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a0/fe/3f/a0fe3ff1-d068-b00e-6265-0b53dd144dcf/093624931997.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a0/fe/3f/a0fe3ff1-d068-b00e-6265-0b53dd144dcf/093624931997.jpg/600x600bb.jpg,69.0,15.5,65.6,Monochrome / Gray,#b6aea5
Red Hot Chili Peppers,The Getaway,2016,12,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/22/3e/ed/223eedeb-3ad1-2bd8-c863-ab6fb39d658a/093624920137.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/22/3e/ed/223eedeb-3ad1-2bd8-c863-ab6fb39d658a/093624920137.jpg/600x600bb.jpg,37.0,19.4,43.9,Pink & Magenta,#625b60
